"poll","iso","sector","fuel","units","year","value","country"
"NOx","zaf","1a4a commercial institutional [1A4a]","Coal coke","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a4a commercial institutional [1A4a]","Diesel oil","ktNO2",2022,0.307352239778679,"South Africa"
"NOx","zaf","1a4a commercial institutional [1A4a]","Hard coal","ktNO2",2022,3.37244911931884,"South Africa"
"NOx","zaf","1a4a commercial institutional [1A4a]","Heavy oil","ktNO2",2022,0.691365857579371,"South Africa"
"NOx","zaf","1a4a commercial institutional [1A4a]","Light oil","ktNO2",2022,0.30856795022753,"South Africa"
"NOx","zaf","1a4a commercial institutional [1A4a]","Natural gas","ktNO2",2022,0.0397951125657539,"South Africa"
"NOx","zaf","1a4b residential [1A4b]","Biomass","ktNO2",2022,4.40389064588496,"South Africa"
"NOx","zaf","1a4b residential [1A4b]","Brown coal","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a4b residential [1A4b]","Coal coke","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a4b residential [1A4b]","Diesel oil","ktNO2",2022,0.00419305443260911,"South Africa"
"NOx","zaf","1a4b residential [1A4b]","Hard coal","ktNO2",2022,6.26081072468182,"South Africa"
"NOx","zaf","1a4b residential [1A4b]","Heavy oil","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a4b residential [1A4b]","Light oil","ktNO2",2022,0.404705114002998,"South Africa"
"NOx","zaf","1a4b residential [1A4b]","Natural gas","ktNO2",2022,0.00651799684438285,"South Africa"
"NOx","zaf","1a4c agriculture forestry fishing [1A4c]","Biomass","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a4c agriculture forestry fishing [1A4c]","Brown coal","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a4c agriculture forestry fishing [1A4c]","Coal coke","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a4c agriculture forestry fishing [1A4c]","Diesel oil","ktNO2",2022,21.1836620647459,"South Africa"
"NOx","zaf","1a4c agriculture forestry fishing [1A4c]","Hard coal","ktNO2",2022,0.667518352816081,"South Africa"
