"poll","iso","sector","fuel","units","year","value","country"
"SO2","zaf","1a3dii domestic navigation [1A3dii]","Biomass","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a3dii domestic navigation [1A3dii]","Brown coal","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a3dii domestic navigation [1A3dii]","Coal coke","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a3dii domestic navigation [1A3dii]","Diesel oil","ktSO2",2022,0.363117888316793,"South Africa"
"SO2","zaf","1a3dii domestic navigation [1A3dii]","Hard coal","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a3dii domestic navigation [1A3dii]","Heavy oil","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a3dii domestic navigation [1A3dii]","Light oil","ktSO2",2022,0.00103474967986932,"South Africa"
"SO2","zaf","1a3dii domestic navigation [1A3dii]","Natural gas","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a3eii other transp [1A3eii]","Biomass","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a3eii other transp [1A3eii]","Brown coal","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a3eii other transp [1A3eii]","Coal coke","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a3eii other transp [1A3eii]","Diesel oil","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a3eii other transp [1A3eii]","Hard coal","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a3eii other transp [1A3eii]","Heavy oil","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a3eii other transp [1A3eii]","Light oil","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a3eii other transp [1A3eii]","Natural gas","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a4a commercial institutional [1A4a]","Biomass","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a4a commercial institutional [1A4a]","Brown coal","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a4a commercial institutional [1A4a]","Coal coke","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a4a commercial institutional [1A4a]","Diesel oil","ktSO2",2022,0.13119879233236,"South Africa"
"SO2","zaf","1a4a commercial institutional [1A4a]","Hard coal","ktSO2",2022,32.8772544978094,"South Africa"
"SO2","zaf","1a4a commercial institutional [1A4a]","Heavy oil","ktSO2",2022,3.529900438243,"South Africa"
"SO2","zaf","1a4a commercial institutional [1A4a]","Light oil","ktSO2",2022,0.0879537227888918,"South Africa"
"SO2","zaf","1a4a commercial institutional [1A4a]","Natural gas","ktSO2",2022,0.00027383567141495,"South Africa"
"SO2","zaf","1a4b residential [1A4b]","Biomass","ktSO2",2022,1.73436881627974,"South Africa"
"SO2","zaf","1a4b residential [1A4b]","Brown coal","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a4b residential [1A4b]","Coal coke","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a4b residential [1A4b]","Diesel oil","ktSO2",2022,0.0403688591791877,"South Africa"
"SO2","zaf","1a4b residential [1A4b]","Hard coal","ktSO2",2022,69.1526748351857,"South Africa"
"SO2","zaf","1a4b residential [1A4b]","Heavy oil","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a4b residential [1A4b]","Light oil","ktSO2",2022,0.380787882191908,"South Africa"
"SO2","zaf","1a4b residential [1A4b]","Natural gas","ktSO2",2022,5.14633164376134e-05,"South Africa"
"SO2","zaf","1a4c agriculture forestry fishing [1A4c]","Biomass","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a4c agriculture forestry fishing [1A4c]","Brown coal","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a4c agriculture forestry fishing [1A4c]","Coal coke","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a4c agriculture forestry fishing [1A4c]","Diesel oil","ktSO2",2022,9.04262445613804,"South Africa"
"SO2","zaf","1a4c agriculture forestry fishing [1A4c]","Hard coal","ktSO2",2022,7.23054175863394,"South Africa"
"SO2","zaf","1a4c agriculture forestry fishing [1A4c]","Heavy oil","ktSO2",2022,1.08612321176708,"South Africa"
"SO2","zaf","1a4c agriculture forestry fishing [1A4c]","Light oil","ktSO2",2022,0.21108893469334,"South Africa"
"SO2","zaf","1a4c agriculture forestry fishing [1A4c]","Natural gas","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a5 other unspecified [1A5]","Biomass","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a5 other unspecified [1A5]","Brown coal","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a5 other unspecified [1A5]","Coal coke","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a5 other unspecified [1A5]","Diesel oil","ktSO2",2022,7.25630243745898,"South Africa"
"SO2","zaf","1a5 other unspecified [1A5]","Hard coal","ktSO2",2022,1.69908291978343,"South Africa"
"SO2","zaf","1a5 other unspecified [1A5]","Heavy oil","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a5 other unspecified [1A5]","Light oil","ktSO2",2022,0.0186254942376477,"South Africa"
"SO2","zaf","1a5 other unspecified [1A5]","Natural gas","ktSO2",2022,0,"South Africa"
"SO2","zaf","1b1 fugitive solid fuels [1B1]","Process","ktSO2",2022,0,"South Africa"
"SO2","zaf","1b2 fugitive petr [1B2]","Process","ktSO2",2022,0.0003141,"South Africa"
"SO2","zaf","1b2b fugitive ng distr [1B2b]","Process","ktSO2",2022,0,"South Africa"
"SO2","zaf","1b2b fugitive ng prod [1B2b]","Process","ktSO2",2022,0,"South Africa"
"SO2","zaf","1b2d fugitive other energy [1B2d]","Process","ktSO2",2022,0,"South Africa"
"SO2","zaf","2a1 cement production [2A1]","Process","ktSO2",2022,0,"South Africa"
"SO2","zaf","2a2 lime production [2A2]","Process","ktSO2",2022,0,"South Africa"
"SO2","zaf","2ax other minerals [2Ax]","Process","ktSO2",2022,0,"South Africa"
"SO2","zaf","2b chemical industry [2B]","Process","ktSO2",2022,1.35645349589311,"South Africa"
"SO2","zaf","2b2 chemicals nitric acid [2B2]","Process","ktSO2",2022,0,"South Africa"
"SO2","zaf","2b3 chemicals adipic acid [2B3]","Process","ktSO2",2022,0,"South Africa"
"SO2","zaf","2c1 iron steel alloy prod [2C1]","Process","ktSO2",2022,1.86940198958333,"South Africa"
"SO2","zaf","2c3 aluminum production [2C3]","Process","ktSO2",2022,27.846,"South Africa"
"SO2","zaf","2c4 non ferrous other metals [2C4]","Process","ktSO2",2022,0.52,"South Africa"
"SO2","zaf","2d chemical products manufacture processing [2D]","Process","ktSO2",2022,0,"South Africa"
"SO2","zaf","2d degreasing cleaning [2D]","Process","ktSO2",2022,0,"South Africa"
"SO2","zaf","2d other product use [2D]","Process","ktSO2",2022,0,"South Africa"
"SO2","zaf","2d paint application [2D]","Process","ktSO2",2022,0,"South Africa"
"SO2","zaf","2h pulp and paper food beverage wood [2H]","Process","ktSO2",2022,5.78465245213182,"South Africa"
"SO2","zaf","3b manure management [3B]","Process","ktSO2",2022,0,"South Africa"
"SO2","zaf","3d rice cultivation [3D]","Process","ktSO2",2022,0,"South Africa"
"SO2","zaf","3d soil emissions [3D]","Process","ktSO2",2022,0,"South Africa"
"SO2","zaf","3e enteric fermentation [3E]","Process","ktSO2",2022,0,"South Africa"
"SO2","zaf","3i agriculture other [3I]","Process","ktSO2",2022,0,"South Africa"
"SO2","zaf","5a solid waste disposal [5A]","Process","ktSO2",2022,0,"South Africa"
"SO2","zaf","5c waste combustion [5C]","Process","ktSO2",2022,3.24083150660297,"South Africa"
"SO2","zaf","5d wastewater handling [5D]","Process","ktSO2",2022,0,"South Africa"
"SO2","zaf","5e other waste handling [5E]","Process","ktSO2",2022,0,"South Africa"
"SO2","zaf","6a other in total [6A]","Process","ktSO2",2022,0,"South Africa"
"SO2","zaf","6b other not in total [6B]","Process","ktSO2",2022,0,"South Africa"
"SO2","zaf","7a fossil fuel fires [7A]","Process","ktSO2",2022,0,"South Africa"
"SO2","zaf","7bc indirect n2o non agricultural n [7BC]","Process","ktSO2",2022,0,"South Africa"
